品类,价格响应模型,含时间趋势,验证截止日,WAPE,MAE,RMSE,价格系数
花叶类,对数-对数,是,2023-01-27,0.39504856079712336,77.96808197562002,79.07189987085951,-0.9557386106643374
花叶类,对数-对数,是,2023-03-03,0.07756539704733739,8.795229017365642,13.134623788782234,-0.9211595240761951
花叶类,对数-对数,是,2023-04-07,0.26279136201365993,30.15050346330494,32.62184127911087,-0.9242526850584052
花叶类,对数-对数,是,2023-05-12,0.14526399188702566,21.60610960930169,27.459061695461276,-0.9193156269141255
花叶类,对数-对数,是,2023-06-16,0.22771610760129304,36.03301612588826,44.49693291982342,-0.9018253408441301
花菜类,半对数,否,2022-10-14,0.2313189468994971,11.24768551960499,20.70397458995762,-0.13360432581204768
花菜类,半对数,否,2022-11-18,0.4354982957268318,31.01587755145373,42.05463587299497,-0.13465083876845255
花菜类,半对数,否,2022-12-23,0.2110755408324613,7.671419916961044,9.4249402745148,-0.12996218510293034
花菜类,半对数,否,2023-01-27,0.18579676086403607,7.637016600949748,9.261945877921399,-0.12711087182576913
花菜类,半对数,否,2023-03-03,0.26559100722730844,6.230347672255585,8.8871390472704,-0.12630221693401153
花菜类,半对数,否,2023-04-07,0.18959326646907593,3.7756144779698837,4.308295784826587,-0.12315657285889198
花菜类,半对数,否,2023-05-12,0.20676137507238868,5.768849125894717,6.575381325564525,-0.1196764771946286
花菜类,半对数,否,2023-06-16,0.18011477063814768,3.08919989257791,4.24089705939279,-0.11518142625480376
花菜类,半对数,是,2022-10-14,0.31542311727853534,15.33717871499683,25.140880882717894,-0.12226234113337608
花菜类,半对数,是,2022-11-18,0.4465240373442544,31.801122993916838,47.29272817717455,-0.12855111423033572
花菜类,半对数,是,2022-12-23,0.14108496813190227,5.1276525467721985,5.410132957996034,-0.12741039458809378
花菜类,半对数,是,2023-01-27,0.18973620556260606,7.798944098617582,10.188406510182189,-0.1245292334461334
花菜类,半对数,是,2023-03-03,0.33551249576389497,7.870595916699061,9.937502977358308,-0.12324023155518338
花菜类,半对数,是,2023-04-07,0.15956180838360914,3.1775594412393025,3.8903473464289124,-0.12060574681790978
花菜类,半对数,是,2023-05-12,0.23734970895463012,6.622294229543136,7.817665962520521,-0.11704746506797589
花菜类,半对数,是,2023-06-16,0.17738061117239107,3.0423055423922998,4.1509841010862,-0.11209459197957905
花菜类,对数-对数,否,2022-10-14,0.24139736330438447,11.737739878650006,21.714334703382626,-1.246607333370244
花菜类,对数-对数,否,2022-11-18,0.4457073527579399,31.742959301025653,43.0762183553175,-1.2581766528987801
花菜类,对数-对数,否,2022-12-23,0.20759657404366036,7.5449788570030965,9.115315360903105,-1.1931242711405483
花菜类,对数-对数,否,2023-01-27,0.18183796959784893,7.474293879202782,9.148797685597717,-1.164487969844165
花菜类,对数-对数,否,2023-03-03,0.2681138759369872,6.289530207676676,8.96013744963549,-1.1567833751900494
花菜类,对数-对数,否,2023-04-07,0.16050779138407614,3.196398016991459,3.7674422941310755,-1.1228530041490858
花菜类,对数-对数,否,2023-05-12,0.2211046276430857,6.169040215869734,7.194195649396859,-1.0811321242303769
花菜类,对数-对数,否,2023-06-16,0.19382291784881464,3.324312242001548,4.791278986888745,-1.0556251305211972
花菜类,对数-对数,是,2022-10-14,0.34872098944812374,16.95625920820978,26.250539781246413,-1.1402076419902458
花菜类,对数-对数,是,2022-11-18,0.4541043932583014,32.34099052757533,47.805886274507806,-1.1967099225206737
花菜类,对数-对数,是,2022-12-23,0.14283120512921357,5.191118532589765,5.565269057664763,-1.16576859859813
花菜类,对数-对数,是,2023-01-27,0.18975536610102225,7.799731676125861,10.298629215656046,-1.1370550446123757
花菜类,对数-对数,是,2023-03-03,0.3368880333959494,7.902863867987923,9.975260697683412,-1.125493814305461
花菜类,对数-对数,是,2023-04-07,0.14299232758179375,2.8475900664145786,3.991626368847643,-1.097416645952837
花菜类,对数-对数,是,2023-05-12,0.24618299007360492,6.868751606043651,8.202288236018859,-1.056633619485533
花菜类,对数-对数,是,2023-06-16,0.17987505965637465,3.085088541040669,4.458538740085802,-1.0286072453846982
水生根茎类,半对数,否,2022-10-14,0.45697919377335894,27.44649679173778,33.9553295677698,-0.06772619279131517
