品类,方法,回测WAPE,回测MAE,路径变化误差,方向命中率,预测波动比中位数,回测次数,是否动态,距最优WAPE,是否入选,综合路径评分
花菜类,指数加权移动平均+近周形状rho=0.60,0.07171807403446516,0.4595165303144281,0.06696753930576345,0.3928571428571428,0.7672962440849902,8,是,0.010033955420663938,否,0.10520184368734689
花菜类,近7日均值+近周形状rho=0.30,0.07191085286383232,0.4607517148893276,0.05442387879803123,0.39285714285714285,0.3766472323264457,8,是,0.010226734250031101,否,0.09912279226284794
花菜类,近7日均值+近周形状rho=0.45,0.07357377491637905,0.47140649308934446,0.06004267095868602,0.39285714285714285,0.5649708484896689,8,是,0.01188965630257783,否,0.10359511039572206
花菜类,近14日均值,0.07419790541170143,0.47540546104177644,0.04777029864890208,0.08928571428571427,0.0,8,否,0.01251378679790021,否,0.09808305473615248
花菜类,近14日均值+近周形状rho=0.15,0.07518598706818133,0.4817363596411279,0.05114270716110379,0.3928571428571428,0.18536168335662817,8,是,0.01350186845438011,否,0.10075734064873323
花菜类,近14日均值+近周形状rho=0.30,0.07664885895303426,0.4911093638924565,0.05594574447139875,0.3928571428571428,0.3707233667132562,8,是,0.014964740339233042,否,0.10462173118873364
花菜类,近7日均值+近周形状rho=0.60,0.076856765485613,0.4924414756336945,0.06750796175270646,0.4107142857142857,0.7532944646528921,8,是,0.01517264687181178,否,0.11061074636196623
花菜类,近14日均值+近周形状rho=0.45,0.07854576783295095,0.503263357129964,0.06179506699865809,0.3928571428571428,0.5560850500698848,8,是,0.016861649219149726,否,0.10944330133227999
花菜类,近14日均值+近周形状rho=0.60,0.08082305657386213,0.5178545440076919,0.06845530129089039,0.375,0.7414467334265136,8,是,0.019138937960060907,否,0.11505070721930732
茄类,近14日均值,0.09219134956231596,0.5267285126008447,0.0435345107796846,0.10714285714285714,1.3008631091731572e-15,8,否,0.0,是,0.11395860495215826
茄类,近14日均值+近周形状rho=0.15,0.09285910305448034,0.5305436731921758,0.04343231461793572,0.5535714285714286,0.1697627468340081,8,是,0.0006677534921643719,否,0.1145752603634482
茄类,近14日均值+近周形状rho=0.30,0.09432588460956533,0.5389240220045992,0.04629790549121852,0.5535714285714286,0.3395254936680159,8,是,0.002134535047249364,否,0.11747483735517458
茄类,近14日均值+近周形状rho=0.45,0.09598261980934417,0.5483896570310516,0.05108593962677048,0.5535714285714286,0.5092882405020229,8,是,0.003791270247028203,否,0.12152558962272941
茄类,近14日均值+近周形状rho=0.60,0.09781535843645321,0.5588608747280085,0.055903048550460105,0.5714285714285714,0.6790509873360301,8,是,0.0056240088741372485,否,0.12576688271168326
茄类,指数加权移动平均+近周形状rho=0.30,0.11590035731255313,0.662188189097749,0.04535907436651159,0.5535714285714286,0.3288671382138606,8,是,0.023709007750237168,否,0.13857989449580893
茄类,指数加权移动平均+近周形状rho=0.15,0.11593574190202557,0.6623903563538992,0.04368680129131616,0.5357142857142857,0.1644335691069303,8,是,0.02374439233970961,否,0.13777914254768364
茄类,指数加权移动平均+近周形状rho=0.45,0.11647648419021703,0.6654798477488261,0.0493109851829245,0.5535714285714286,0.4933007073207909,8,是,0.024285134627901064,否,0.14113197678167927
茄类,指数加权移动平均,0.11664572810966096,0.6664468104668972,0.044703513805691236,0.07142857142857142,0.0,8,否,0.024454378547345,否,0.13899748501250658
茄类,指数加权移动平均+近周形状rho=0.60,0.1179912421554167,0.6741343062609081,0.054253252494678335,0.5535714285714286,0.6577342764277205,8,是,0.02579989259310074,否,0.14511786840275587
