口径,品类,模型,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差,均方根误差,价格系数
正常销售,辣椒类,对数需求（星期和月份）,2023-03-03,7,0.08726359670129301,9.321297939982516,12.728536798096696,-0.6287042652715908
正常销售,辣椒类,对数需求（星期和月份）,2023-04-07,7,0.08414173713518172,6.447853438157949,9.552750713369049,-0.6432662057613454
正常销售,辣椒类,对数需求（星期和月份）,2023-05-12,7,0.17405184788256198,13.30837725734615,17.38427101340207,-0.6411209139388623
正常销售,辣椒类,对数需求（星期和月份）,2023-06-16,7,0.36574356290348087,36.839572622533524,44.05759745299658,-0.6344603649606706
正常销售,辣椒类,对数需求（星期、月份和趋势）,2022-10-14,7,0.5356859064550766,83.4168563000684,130.84081298166214,-0.5328797353623599
正常销售,辣椒类,对数需求（星期、月份和趋势）,2022-11-18,7,0.5896959082712989,114.77108250820855,166.27713899663695,-0.6419839951658416
正常销售,辣椒类,对数需求（星期、月份和趋势）,2022-12-23,7,0.1927733334834218,22.749236162473885,25.031461324123686,-0.6865672223701921
正常销售,辣椒类,对数需求（星期、月份和趋势）,2023-01-27,7,0.18552104011076742,31.17585668240818,36.39856260291252,-0.6675960299435815
正常销售,辣椒类,对数需求（星期、月份和趋势）,2023-03-03,7,0.0993644806135706,10.61388670032878,13.948708558300007,-0.6623800610700035
正常销售,辣椒类,对数需求（星期、月份和趋势）,2023-04-07,7,0.08064625240503358,6.179991447156929,9.052703753128897,-0.6572043933145801
正常销售,辣椒类,对数需求（星期、月份和趋势）,2023-05-12,7,0.16369820344732938,12.516715417447331,16.568906672461587,-0.6251956760909066
正常销售,辣椒类,对数需求（星期、月份和趋势）,2023-06-16,7,0.33405459132660914,33.64769643345718,41.183768949087806,-0.5766948052658346
正常销售,食用菌,对数需求（星期和月份）,2022-10-14,7,0.5266668452997871,76.11291438715539,103.46192049898313,0.19066659491931565
正常销售,食用菌,对数需求（星期和月份）,2022-11-18,7,0.7020619030900319,109.1084433047977,163.354347205202,0.11436604525159956
正常销售,食用菌,对数需求（星期和月份）,2022-12-23,7,0.2526044725614642,30.396690083091894,32.99382080083754,0.09777988509429185
正常销售,食用菌,对数需求（星期和月份）,2023-01-27,7,0.1951865555980426,21.47562385002389,24.114803103276326,0.06932053997863259
正常销售,食用菌,对数需求（星期和月份）,2023-03-03,7,0.2420639966862179,14.076436374155033,15.444485062045326,0.05713358636929606
正常销售,食用菌,对数需求（星期和月份）,2023-04-07,7,0.28548667658912624,14.6906141877342,19.73372211177859,-0.005169983602508279
正常销售,食用菌,对数需求（星期和月份）,2023-05-12,7,0.33921353770578716,19.0322539600586,21.20489618720936,-0.11055320189144108
正常销售,食用菌,对数需求（星期和月份）,2023-06-16,7,0.25667254488734087,13.31624496376807,17.30909625324314,-0.16132604800191158
正常销售,食用菌,对数需求（星期、月份和趋势）,2022-10-14,7,0.6482944948046688,93.69031641368039,117.57286184879104,-0.08183682040685829
正常销售,食用菌,对数需求（星期、月份和趋势）,2022-11-18,7,0.6939988416998051,107.85535141548344,171.88924212206805,-0.10851370331411574
正常销售,食用菌,对数需求（星期、月份和趋势）,2022-12-23,7,0.3831964724636366,46.11123586332,47.54127088886473,-0.11459156025336746
正常销售,食用菌,对数需求（星期、月份和趋势）,2023-01-27,7,0.2710036675517299,29.81748824085628,33.34909381601888,-0.08485436052557987
正常销售,食用菌,对数需求（星期、月份和趋势）,2023-03-03,7,0.31675273819589755,18.419714730785493,20.70585136417627,-0.07634782378414066
正常销售,食用菌,对数需求（星期、月份和趋势）,2023-04-07,7,0.30335477632690333,15.610073416626408,21.28015862865192,-0.08234708354501656
正常销售,食用菌,对数需求（星期、月份和趋势）,2023-05-12,7,0.357716516918961,20.070400614772147,22.23335070204855,-0.16028674453827016
正常销售,食用菌,对数需求（星期、月份和趋势）,2023-06-16,7,0.25901729589096645,13.437891315765025,17.719769597165328,-0.18868288062369518
