品类,模型,验证截止日,验证天数,绝对百分比误差加权,平均绝对误差,均方根误差
茄类,含时间趋势,2023-03-03,7,0.18063122120831018,2.016954020472164,2.2275752904597237
茄类,含时间趋势,2023-04-07,7,0.1658787902238149,2.3475640331874925,2.7911441173775886
茄类,含时间趋势,2023-05-12,7,0.25452870013967965,5.202203018426281,5.489235036484043
茄类,含时间趋势,2023-06-16,7,0.2982771129347533,9.68833890523372,13.311413146548869
辣椒类,不含趋势,2022-10-14,7,0.5393508807584424,96.26465504990581,137.30325398819446
辣椒类,不含趋势,2022-11-18,7,0.5572201224531109,109.48523655445025,164.69631292310467
辣椒类,不含趋势,2022-12-23,7,0.192790909656,23.935597348079884,25.770885979698345
辣椒类,不含趋势,2023-01-27,7,0.16067811469121568,27.991413004127303,32.14511662691963
辣椒类,不含趋势,2023-03-03,7,0.07808129030192885,9.290546944455176,14.733991531046998
辣椒类,不含趋势,2023-04-07,7,0.07017864678129872,6.86794303756308,9.356826604969157
辣椒类,不含趋势,2023-05-12,7,0.24649307754340605,21.088257476367808,25.15140989739109
辣椒类,不含趋势,2023-06-16,7,0.38832231580453963,41.98246863011002,48.92801278618906
辣椒类,含时间趋势,2022-10-14,7,0.5552956115069858,99.11050931682335,139.4375102666373
辣椒类,含时间趋势,2022-11-18,7,0.5589515050205968,109.82542676354197,164.93527825050853
