品类,成本口径,成本预测方法,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,泄漏检查,加权绝对百分比误差,平均绝对误差,路径变化误差,方向准确率,百分之九十区间覆盖率,百分之九十区间平均宽度
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-04-14,2023-04-15,2023-04-21,1008,7,2023-04-14,通过,0.051903527100685916,0.1589413241213009,0.27479837638199983,1.0,1.0,1.0813127436198346
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-04-21,2023-04-22,2023-04-28,1015,7,2023-04-21,通过,0.05526377635105533,0.16416936863714898,0.16312787198235554,0.2857142857142857,1.0,1.0400075702956055
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-04-28,2023-04-29,2023-05-05,1022,7,2023-04-28,通过,0.19292174691563344,0.7061994185513357,0.1890532499334007,1.0,0.14285714285714285,0.9979382624723661
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-05-05,2023-05-06,2023-05-12,1029,7,2023-05-05,通过,0.07785050927920052,0.2777529810778839,0.26923581957548426,1.0,1.0,1.2473623965755039
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-05-12,2023-05-13,2023-05-19,1036,7,2023-05-12,通过,0.04450730830716032,0.1513855882684377,0.11816181484064099,0.8571428571428571,1.0,1.3279960291618578
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-05-19,2023-05-20,2023-05-26,1043,7,2023-05-19,通过,0.06439096845582383,0.20324645246770753,0.2008738058893059,0.42857142857142855,1.0,1.1898354203938897
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-05-26,2023-05-27,2023-06-02,1050,7,2023-05-26,通过,0.0629372340058222,0.21564563112714025,0.07777528895116943,0.0,1.0,1.1208670214055712
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1057,7,2023-06-02,通过,0.02309661613446396,0.08123843751571348,0.05910632381045233,0.14285714285714285,1.0,1.107090646906527
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1064,7,2023-06-09,通过,0.036064313117103966,0.1269967078172141,0.13994239001443018,0.5714285714285714,1.0,1.005929330528291
花叶类,销量加权成本,指数加权移动平均,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1071,7,2023-06-16,通过,0.07724446715392652,0.24557600729624518,0.149622701800565,0.14285714285714285,0.8571428571428571,0.91889961563699
花叶类,销量加权成本,同星期最近4次统计,八折主要回测,2021-03-31,2021-04-01,2021-04-07,272,7,2021-03-31,通过,0.11239972009043343,0.496803193046833,0.36784619971437343,0.5714285714285714,0.7142857142857143,1.7767867992810424
花叶类,销量加权成本,同星期最近4次统计,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,通过,0.11198425189108015,0.40278341006301205,0.18878454525883134,0.8571428571428571,0.8571428571428571,1.0931504375332022
花叶类,销量加权成本,同星期最近4次统计,八折主要回测,2021-09-30,2021-10-01,2021-10-07,455,7,2021-09-30,通过,0.10210408774786515,0.45526618097744503,0.2971348141728309,0.5714285714285714,0.8571428571428571,1.476587396282321
