口径,品类,需求模型,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,是否伪未来,泄漏检查,加权绝对百分比误差,平均绝对误差,均方根误差,平均绝对尺度误差,百分之十分位损失,百分之五十分位损失,百分之九十分位损失,百分之八十区间覆盖率,百分之八十区间平均宽度,百分之九十区间覆盖率,百分之九十区间平均宽度
正常销售,茄类,近14日均值,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1022,7,2023-06-02,否,通过,0.2866791804835346,7.26485997513917,10.583321681993151,0.9193328682247542,1.7585443026662824,3.632429987569585,1.551222951689087,0.8571428571428571,28.24881224915555,1.0,38.71084690348147
正常销售,茄类,星期加月份对数回归,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1022,7,2023-06-02,否,通过,0.3079357809291345,7.803532597002737,8.445739890363372,0.9874992813678368,0.7449924242471627,3.9017662985013684,3.089352896090914,1.0,38.34345320338077,1.0,51.047281457774616
正常销售,茄类,星期加月份及趋势对数回归,近期滚动回测,2023-06-02,2023-06-03,2023-06-09,1022,7,2023-06-02,否,通过,0.1463152050808814,3.7078363184710783,5.3433154985516085,0.46920874032436255,1.2264907978842483,1.8539181592355392,1.131422502110934,1.0,23.579132999951828,1.0,32.76808719658896
正常销售,茄类,同星期最近4次均值,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1029,7,2023-06-09,否,通过,0.23699831266830737,6.45200820718019,8.247049422792655,0.8180504859815918,1.8023892234415728,3.226004103590095,1.4377346129210131,0.8571428571428571,32.29718390974703,1.0,41.67613176536513
正常销售,茄类,同星期最近8次中位数,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1029,7,2023-06-09,否,通过,0.15038542874684496,4.094071428571429,5.27073524621701,0.5190875482859832,1.6656101745182053,2.0470357142857143,2.0658094617818525,1.0,37.31419636300058,1.0,48.598702164704704
正常销售,茄类,近7日均值,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1029,7,2023-06-09,否,通过,0.3606815450733863,9.819142857142856,13.041260839570471,1.2449696789395386,1.9432882879634459,4.909571428571428,2.2097812436270092,0.7142857142857143,28.2812036557088,1.0,38.66049125511237
正常销售,茄类,近14日均值,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1029,7,2023-06-09,否,通过,0.3606815450733864,9.819142857142861,13.041260839570473,1.2449696789395392,1.943288287963446,4.9095714285714305,2.2097812436270106,0.7142857142857143,28.281203655708797,1.0,38.66049125511237
正常销售,茄类,星期加月份对数回归,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1029,7,2023-06-09,否,通过,0.23415705442243037,6.374658198588469,7.5072783344085625,0.8082432740117248,0.9517552241471873,3.1873290992942347,2.8044368789577954,1.0,37.561921031049835,1.0,50.193586758445136
正常销售,茄类,星期加月份及趋势对数回归,近期滚动回测,2023-06-09,2023-06-10,2023-06-16,1029,7,2023-06-09,否,通过,0.22147119395787893,6.0293001455673005,7.631263734066619,0.7644553069106884,1.3870815437847963,3.0146500727836503,1.004958225163225,1.0,23.920397689480215,1.0,33.16914802864827
正常销售,茄类,同星期最近4次均值,近期滚动回测,2023-06-16,2023-06-17,2023-06-23,1036,7,2023-06-16,否,通过,0.30833398665562994,10.014996220561516,12.32704983345676,1.2728477558623024,2.2630685488038584,5.007498110280758,1.1536699098292498,1.0,34.16738458633109,1.0,44.40340983765378
