口径,品类,需求模型,折组,训练截止日,测试开始日,测试结束日,训练样本数,测试样本数,使用最大日期,是否伪未来,泄漏检查,加权绝对百分比误差,平均绝对误差,均方根误差,平均绝对尺度误差,百分之十分位损失,百分之五十分位损失,百分之九十分位损失,百分之八十区间覆盖率,百分之八十区间平均宽度,百分之九十区间覆盖率,百分之九十区间平均宽度
正常销售,辣椒类,同星期最近4次均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.2658668929538476,12.471360176648501,14.072161647728983,0.5992206341531804,2.425860398273161,6.2356800883242505,2.255561950569778,0.7142857142857143,38.62056171783358,1.0,53.37655357881145
正常销售,辣椒类,同星期最近8次中位数,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.1844541628344672,8.65242857142857,10.288385761208051,0.4157296126563993,2.0970229491613894,4.326214285714285,2.3102261137809164,1.0,44.072490629423065,1.0,60.437985570392655
正常销售,辣椒类,近7日均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.2341864672095703,10.985285714285727,14.928980239788665,0.5278181191810586,2.4624353261113088,5.492642857142863,4.778941496893905,0.8571428571428571,62.273543073960916,0.8571428571428571,88.73445173701055
正常销售,辣椒类,近14日均值,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.2341864672095703,10.985285714285727,14.928980239788665,0.5278181191810586,2.4624353261113088,5.492642857142863,4.778941496893909,0.8571428571428571,62.27354307396093,0.8571428571428571,88.73445173701056
正常销售,辣椒类,星期加月份对数回归,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.33315512623936344,15.62773584881499,18.16680167116852,0.7508773424120506,2.3390429183539245,7.813867924407495,4.653651504443698,0.8571428571428571,54.05292440054233,0.8571428571428571,71.7923396995507
正常销售,辣椒类,星期加月份及趋势对数回归,八折主要回测,2022-06-30,2022-07-01,2022-07-07,727,7,2022-06-30,是,通过,0.21970023775094213,10.305761523917695,10.904501415887164,0.49516851957786734,1.9789498645145163,5.152880761958848,1.1176042175464234,0.7142857142857143,30.24419836853147,1.0,40.46409002247249
正常销售,食用菌,同星期最近4次均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.2548029458418821,9.946451393462878,12.261960421486897,0.39047405965006293,2.2619618347216504,4.973225696731439,2.0413890579276437,1.0,43.03350892649295,1.0,55.326800548320115
正常销售,食用菌,同星期最近8次中位数,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.19214019344851435,7.500357142857143,9.943862922497903,0.2944462086570499,2.0108656550099027,3.7501785714285716,2.959190919979128,1.0,49.700565749890316,1.0,63.42738972348226
正常销售,食用菌,近7日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.6093555009862729,23.786714285714293,26.092231720243056,0.9338099112396443,1.813797498084313,11.893357142857147,8.982795859865623,0.7142857142857143,96.44805998259788,0.8571428571428571,125.10547064482843
正常销售,食用菌,近14日均值,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.6093555009862726,23.786714285714282,26.092231720243035,0.9338099112396439,1.8137974980843106,11.893357142857141,8.982795859865622,0.7142857142857143,96.44805998259788,0.8571428571428571,125.1054706448284
正常销售,食用菌,星期加月份对数回归,八折主要回测,2021-06-30,2021-07-01,2021-07-07,363,7,2021-06-30,是,通过,0.3013963432426944,11.765264598201355,13.452619972352116,0.4618763465265805,2.022452940673555,5.882632299100678,3.1815923245184226,0.42857142857142855,34.42511373320907,0.8571428571428571,48.22973459144212
